doi,title,citation,authors_collapsed,affiliations_collapsed,dwr_contribution_collapsed,first_level,second_level,confidence,abstract,note,journal,publication_year,volume,issue,publisher,landing_page_url,pdf_url,is_oa,is_oa_anywhere,oa_status,license,cited_by_count,dwr_author,dwr_lead_author,dwr_sole_author,dwr_funding_other,first_dwr_author,first_dwr_author_position,first_dwr_author_division
10.1007/S10980-023-01683-1,"Patch size and connectivity predict remnant habitat occupancy by an endangered wetland specialist, the salt marsh harvest mouse","Aylward, C.M., Barthman-Thompson, L., Bean, W.T., Kelt, D., Sacks, B.N., and Statham, M.J. (2023). Patch size and connectivity predict remnant habitat occupancy by an endangered wetland specialist, the salt marsh harvest mouse. Landscape Ecology. 38(8). 2053-2067. doi:10.1007/S10980-023-01683-1.",Cody M. Aylward; Laureen Barthman-Thompson; William T. Bean; Douglas Kelt; Benjamin N. Sacks; Mark J. Statham,University of California Davis; California Department of Fish and Wildlife; California Polytechnic State University San Luis Obispo; California Polytechnic State University,,biological and ecological sciences,restoration ecology,0.95,"The area-isolation paradigm of metapopulation theory predicts that larger and more connected patches have a higher probability of occupancy. Although it may be too simplistic for generalist terrestrial mammals, the area-isolation paradigm may be an effective tool for assessing patch-occupancy for habitat specialists. Objectives We tested predictions of the area-isolation paradigm for the endangered salt marsh harvest mouse ( Reithrodontomys raviventris ), a habitat specialist living in highly fragmented salt marsh habitat in the San Francisco Estuary (California, USA). Methods We surveyed for salt marsh harvest mice at 47 marsh patches throughout their range using a non-invasive genetic survey technique. We used occupancy modeling to estimate the effects of patch size, patch connectivity, matrix urbanization, and several habitat characteristics on occupancy probabilities. We evaluated occupancy at both coarse (e.g., among patches) and fine (e.g., within patches) spatial scales. Results Patch size, connectivity, and matrix urbanization had significant effects on patch-occupancy. Within patches, occupancy was positively related to the presence of high-tide escape vegetation. Our data also revealed the extirpation of several geographically distinct populations, consistent with expectations due to reduced patch sizes and connectivity over the past century. Conclusions Patterns of salt marsh harvest mouse patch-occupancy were consistent with the area-isolation paradigm. In addition, our models provide important guidelines of patch size and connectivity that can inform habitat conservation and restoration for this endangered species. Specifically, our data suggests that selecting restoration sites that are well-connected may be more beneficial than selecting larger, isolated sites.",The study provides guidelines for habitat conservation and restoration of an endangered wetland species.,Landscape Ecology,2023,38,8,Springer Science and Business Media LLC,https://doi.org/10.1007/s10980-023-01683-1,https://link.springer.com/content/pdf/10.1007/s10980-023-01683-1.pdf,TRUE,TRUE,hybrid,cc-by,5,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12145-022-00828-1,Salinity-constituent conversion in South Sacramento-San Joaquin Delta of California via machine learning,"Namadi, P., He, M., and Sandhu, P. (2022). Salinity-constituent conversion in South Sacramento-San Joaquin Delta of California via machine learning. Earth Science Informatics. 15(3). 1749-1764. doi:10.1007/S12145-022-00828-1.",Peyman Namadi; Minxue He; Prabhjot Sandhu,California Department of Water Resources; Delta Air Lines,,geological and earth sciences,water quality,0.9,,The article uses machine learning to study salinity and constituent conversion in water.,Earth Science Informatics,2022,15,3,Springer Science and Business Media LLC,https://doi.org/10.1007/s12145-022-00828-1,,FALSE,FALSE,closed,,5,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12237-020-00836-8,Experimental Quantification of Piscivore Density and Habitat Effects on Survival of Juvenile Chinook Salmon in a Tidal Freshwater Estuary,"Zeug, S.C., Beakes, M.P., Wiesenfeld, J., Greenwood, M.F.D., Grimaldo, L., Hassrick, J.L., Collins, A.M., and Acuna, S. et al. (2020). Experimental Quantification of Piscivore Density and Habitat Effects on Survival of Juvenile Chinook Salmon in a Tidal Freshwater Estuary. Estuaries and Coasts. 44(4). 1157-1172. doi:10.1007/S12237-020-00836-8.",Steven C. Zeug; Michael P. Beakes; Jesse Wiesenfeld; Marin F. D. Greenwood; Lenny Grimaldo; Jason L. Hassrick; A. M. Collins; Shawn Acuna; Myfanwy Johnston,Cramer Fish Sciences; ICF; California Department of Water Resources; Metropolitan Water District of Southern California; Metropolitan Opera,,biological and ecological sciences,fisheries biology,0.95,,"Study of factors affecting survival of juvenile salmon in an estuary, relevant to fish populations.",Estuaries and Coasts,2020,44,4,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-020-00836-8,,FALSE,FALSE,closed,,6,TRUE,FALSE,FALSE,FALSE,Lenny Grimaldo,5,
10.1007/S12237-020-00880-4,Managed Wetlands Can Benefit Juvenile Chinook Salmon in a Tidal Marsh,"Aha, N.M., Moyle, P.B., Fangue, N.A., Rypel, A.L., and Durand, J.R. (2021). Managed Wetlands Can Benefit Juvenile Chinook Salmon in a Tidal Marsh. Estuaries and Coasts. 44(5). 1440-1453. doi:10.1007/S12237-020-00880-4.",Nicole M. Aha; Peter B. Moyle; Nann A. Fangue; Andrew L. Rypel; John R. Durand,University of California Davis,,biological and ecological sciences,fisheries biology,0.95,"Loss of estuarine and coastal habitats worldwide has reduced nursery habitat and function for diverse fishes, including juvenile Chinook salmon ( Oncorhynchus tshawytscha ). Underutilized off-channel habitats such as flooded rice fields and managed ponds present opportunities for improving rearing conditions and increasing habitat diversity along migratory corridors. While experiments in rice fields have shown enhanced growth rates of juvenile fishes, managed ponds are less studied. To evaluate the potential of these ponds as a nursery habitat, juvenile Chinook salmon (~ 2.8 g, 63 mm FL) were reared in cages in four contrasting locations within Suisun Marsh, a large wetland in the San Francisco Estuary. The locations included a natural tidal slough, a leveed tidal slough, and the inlet and outlet of a tidally muted managed pond established for waterfowl hunting. Fish growth rates differed significantly among locations, with the fastest growth occurring near the outlet in the managed pond. High zooplankton biomass at the managed pond outlet was the best correlate of salmon growth. Water temperatures in the managed pond were also cooler and less variable compared to sloughs, reducing thermal stress. The stress of low dissolved oxygen concentrations within the managed pond was likely mediated by high concentrations of zooplankton and favorable temperatures. Our findings suggest that muted tidal habitats in the San Francisco Estuary and elsewhere could be managed to promote growth and survival of juvenile salmon and other native fishes.",Evaluates managed wetlands as nursery habitat to support juvenile Chinook salmon populations.,Estuaries and Coasts,2021,44,5,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-020-00880-4,https://link.springer.com/content/pdf/10.1007/s12237-020-00880-4.pdf,TRUE,TRUE,hybrid,cc-by,11,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12237-021-00896-4,Complex Tidal Marsh Dynamics Structure Fish Foraging Patterns in the San Francisco Estuary,"Colombano, D.D., Handley, T.B., O'Rear, T.A., Durand, J.R., and Moyle, P.B. (2021). Complex Tidal Marsh Dynamics Structure Fish Foraging Patterns in the San Francisco Estuary. Estuaries and Coasts. 44(6). 1604-1618. doi:10.1007/S12237-021-00896-4.",Denise D. Colombano; Thomas B. Handley; Teejay A. O'Rear; John R. Durand; Peter B. Moyle,University of California Berkeley; California Department of Water Resources; University of California Davis,,biological and ecological sciences,fisheries biology,0.95,"Mechanisms driving the consumption and transport of tidal marsh nutrients and energy by fishes are of key interest in the San Francisco Estuary, CA, USA. By combining multiple data sources (gill-net catches, gut contents, channel morphology, tides), we modeled spatial and temporal patterns of fish abundance and gut fullness across a tidal marsh elevation gradient. Channel depth, microhabitat, and tide were important predictors of fish abundance and gut fullness. Species, feeding guild, and season were also important to fish abundance but not to gut fullness, suggesting that abundance was more related to physical constraints of shallow water than to prey availability. Multiple feeding guilds overlapped in space and time at interaction hotspots in subtidal channel habitat near the marsh entrance. In contrast, fish use of shallow intertidal marsh channels was more variable and indicated tradeoffs between foraging and predation. Gut content analysis revealed moderate-to-high gut fullness for all feeding guilds and models predicted high gut fullness in subtidal reaches during tidal flooding, after which fish fed intensively throughout the marsh. While mysids, amphipods, and detritus were common prey among feeding guilds, variation in prey consumption was apparent. Overall, complex tidal marsh hydrogeomorphology driving land-water exchange and residence time may diversify and enhance benthic and pelagic food web pathways to fishes and invertebrates. Furthermore, these findings substantiate the notion that dynamic tidal marshes in this system can support robust secondary production, foraging by multiple feeding guilds, and trophic transfer by fishes to the estuarine mosaic.","Focuses on fish foraging, abundance, and trophic transfer in an estuarine tidal marsh.",Estuaries and Coasts,2021,44,6,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-021-00896-4,https://link.springer.com/content/pdf/10.1007/s12237-021-00896-4.pdf,TRUE,TRUE,hybrid,cc-by,19,TRUE,FALSE,FALSE,FALSE,Thomas B. Handley,2,DRA
10.1007/S12237-021-00977-4,"Monitoring Vegetation Dynamics at a Tidal Marsh Restoration Site: Integrating Field Methods, Remote Sensing and Modeling","Thomsen, A., Krause, J.R., Appiano, M., Tanner, K.E., Endris, C., Haskins, J., Watson, E., and Woolfolk, A. et al. (2021). Monitoring Vegetation Dynamics at a Tidal Marsh Restoration Site: Integrating Field Methods, Remote Sensing and Modeling. Estuaries and Coasts. 45(2). 523-538. doi:10.1007/S12237-021-00977-4.",Alexandra Thomsen; Johannes R. Krause; Monica Appiano; Karen E. Tanner; Charlie Endris; John Haskins; Elizabeth Watson; Andrea Woolfolk; Monique C. Fountain; Kerstin Wasson,California State University Monterey Bay; Drexel University; Moss Landing Marine Laboratories; University of California Santa Cruz; Elkhorn Slough National Estuarine Research Reserve; Elkhorn Slough Foundation,,biological and ecological sciences,restoration ecology,0.95,"Sea level rise threatens coastal wetlands worldwide, and restoration projects are implementing strategies that decrease vulnerability to this threat. Vegetation monitoring at sites employing new restoration strategies and determination of appropriate monitoring techniques improve understanding of factors leading to restoration success. In Central California, soil addition raised a degraded marsh plain to a high elevation expected to be resilient to sea level rise over the next century. We monitored plant survival and recruitment using area searches, transect surveys, and unoccupied aircraft systems (UAS) imagery. We used random forest modeling to examine the influence of nine environmental variables on vegetation colonization and conducted targeted soil sampling to examine additional factors contributing to vegetation patterns. Limited pre-construction vegetation survived soil addition, likely due to the sediment thickness (mean = 69 cm) and placement method. After 1 year, about 10% of the initially bare area saw vegetation reestablishment. Elevation and inundation frequency were particularly critical to understanding restoration success, with greatest vegetation cover in high-elevation areas tidally inundated &lt; 0.85% of the time. Soil analysis suggested greater salinity stress and ammonium levels in poorly-vegetated compared to well-vegetated areas at the same elevation. We found that both transect and UAS methods were suitable for monitoring vegetation colonization. Field transects may provide the best approach for tracking early vegetation colonization at moderate-sized sites under resource limitations, but UAS provide a complementary landscape perspective. Beyond elucidating patterns and drivers of marsh dynamics at a newly restored site, our investigation informs monitoring of marsh restoration projects globally.",Focuses on monitoring and understanding factors for success in tidal marsh restoration.,Estuaries and Coasts,2021,45,2,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-021-00977-4,https://link.springer.com/content/pdf/10.1007/s12237-021-00977-4.pdf,TRUE,TRUE,hybrid,cc-by,12,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12237-021-01024-Y,"Spatial Heterogeneity in Prey Availability, Feeding Success, and Dietary Selectivity for the Threatened Longfin Smelt","Barros, A., Hobbs, J.A., Willmes, M., Parker, C.M., Bisson, M., Fangue, N.A., Rypel, A.L., and Lewis, L.S. (2022). Spatial Heterogeneity in Prey Availability, Feeding Success, and Dietary Selectivity for the Threatened Longfin Smelt. Estuaries and Coasts. 45(6). 1766-1779. doi:10.1007/S12237-021-01024-Y.",Arthur Barros; James A. Hobbs; Malte Willmes; Christina M. Parker; Micah Bisson; Nann A. Fangue; Andrew L. Rypel; Levi S. Lewis,University of California Davis; University of California Santa Cruz,,biological and ecological sciences,fisheries biology,0.95,"Food availability is a key determinant of the nursery value of a given habitat for larval and juvenile fishes. Growth, survival, and recruitment success are often inter-correlated and influenced by prey availability and associated feeding success. This is likely true for the threatened population of Longfin Smelt ( Spirinchus thaleichthys ) in the San Francisco Estuary (SFE) which has collapsed in recent decades along with its preferred prey. In years with high precipitation and freshwater outflow, larval Longfin Smelt are found in shallow wetland habitats throughout the SFE, but variation in the availability of food and feeding success in these habitats remains unexplored. To examine spatial variation in the trophic value of different rearing habitats, we quantified variation in prey availability, feeding success, and prey selection for larval and juvenile Longfin Smelt captured in restored tidal marshes, sloughs, and open-water habitats in the northern and southern SFE. Prey abundance varied spatially, with densities approximately tenfold greater in southern sloughs and restored tidal ponds relative to northern and open-water habitats. Feeding success of larval Longfin Smelt was positively correlated with both fish length and prey density. Larval Longfin Smelt fed selectively on the copepod Eurytemora affinis , with larger individuals (&gt; 25 mm total length) exhibiting an ontogenetic diet shift to larger mysid shrimps. Our results suggest that wetland habitats across the SFE vary greatly in their trophic value, with previously unexplored habitats exhibiting the highest densities of prey and the highest foraging success for larval Longfin Smelt.",Study of a threatened fish population's feeding ecology and habitat value for conservation.,Estuaries and Coasts,2022,45,6,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-021-01024-y,https://link.springer.com/content/pdf/10.1007/s12237-021-01024-y.pdf,TRUE,TRUE,hybrid,cc-by,15,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12237-022-01079-5,Efficacy and Fate of Fluridone Applications for Control of Invasive Submersed Aquatic Vegetation in the Estuarine Environment of the Sacramento-San Joaquin Delta,"Rasmussen, N.L., Conrad, J.L., Green, H., Khanna, S., Wright, H., Hoffmann, K., Caudill, J., and Gilbert, P. (2022). Efficacy and Fate of Fluridone Applications for Control of Invasive Submersed Aquatic Vegetation in the Estuarine Environment of the Sacramento-San Joaquin Delta. Estuaries and Coasts. 45(7). 1842-1860. doi:10.1007/S12237-022-01079-5.",Nick L. Rasmussen; J. Louise Conrad; Heather Green; Shruti Khanna; Hailey Wright; Krista Hoffmann; Jeffrey Caudill; Patricia Gilbert,California Department of Water Resources; Delta Stewardship Council; Delta Air Lines; California Department of Fish and Wildlife; California Department of Parks and Recreation,,biological and ecological sciences,aquatic toxicology,0.95,"Estuaries are ecologically and economically important ecosystems but are threatened by non-native invasive species, including many species of submersed aquatic vegetation (SAV). Herbicides are the primary tool used to control SAV, but most field evaluations of herbicides have been conducted in lentic systems. Therefore, managers working in estuaries must base their SAV control programs largely on findings from systems fundamentally different from their own. We conducted a study in the Sacramento-San Joaquin Delta to determine efficacy of the widely used herbicide fluridone in an estuarine ecosystem. The primary goal of SAV removal was restoration of open water habitat for endangered Hypomesus transpacificus (Delta Smelt). Over 18 months and multiple sets of multi-week fluridone applications, we monitored concentrations of fluridone and responses by SAV across pairs of treated and reference sites. Fluridone concentrations in the water were generally below the 2–5 parts per billion required for SAV control. Monitoring demonstrated that these low water concentrations were likely due to dissipation by tides, despite use of pelleted fluridone formulations marketed for flowing water environments. Fluridone did, however, accumulate in sediment at concentrations hundreds of times higher than those measured in the water. Nonetheless, we did not observe lasting reductions in SAV abundance or changes in SAV community composition. By demonstrating lack of efficacy of one of the few herbicides permitted for use in this estuary, this study highlights the need for development of SAV management tools tailored to the challenges of hydrologically complex environments like estuaries.",Evaluates herbicide efficacy and fate in controlling invasive aquatic vegetation in an estuary.,Estuaries and Coasts,2022,45,7,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-022-01079-5,https://link.springer.com/content/pdf/10.1007/s12237-022-01079-5.pdf,TRUE,TRUE,hybrid,cc-by,7,TRUE,TRUE,FALSE,TRUE,Nick L. Rasmussen,1,DISE
10.1007/S12237-022-01080-Y,Environmental DNA Methods for Ecological Monitoring and Biodiversity Assessment in Estuaries,"Nagarajan, R.P., Bedwell, M., Holmes, A.E., Sanches, T.M., Acuna, S., Baerwald, M.R., Barnes, M.A., and Blankenship, S. et al. (2022). Environmental DNA Methods for Ecological Monitoring and Biodiversity Assessment in Estuaries. Estuaries and Coasts. 45(7). 2254-2273. doi:10.1007/S12237-022-01080-Y.",Raman P. Nagarajan; Mallory Bedwell; Ann E. Holmes; Thiago Missfeldt Sanches; Shawn Acuna; Melinda R. Baerwald; Matthew A. Barnes; Scott Blankenship; Richard E. Connon; Kristy Deiner; Daphne Gille; Caren S. Goldberg; Margaret E. Hunter; Christopher L. Jerde; Gordon Luikart; Rachel S. Meyer; Alison Watts; Andrea Schreier,University of California Davis; California Department of Water Resources; Metropolitan Water District of Southern California; Texas Tech University; Cramer Fish Sciences; ETH Zurich; Washington State University; United States Geological Survey; University of California Santa Barbara; University of Montana; University of California Santa Cruz; University of New Hampshire,,biological and ecological sciences,environmental DNA,0.98,"Environmental DNA (eDNA) detection methods can complement traditional biomonitoring to yield new ecological insights in aquatic systems. However, the conceptual and methodological frameworks for aquatic eDNA detection and interpretation were developed primarily in freshwater environments and have not been well established for estuaries and marine environments that are by nature dynamic, turbid, and hydrologically complex. Environmental context and species life history are critical for successful application of eDNA methods, and the challenges associated with eDNA detection in estuaries were the subject of a symposium held at the University of California Davis on January 29, 2020 ( https://marinescience.ucdavis.edu/engagement/past-events/edna ). Here, we elaborate upon topics addressed in the symposium to evaluate eDNA methods in the context of monitoring and biodiversity studies in estuaries. We first provide a concise overview of eDNA science and methods, and then examine the San Francisco Estuary (SFE) as a case study to illustrate how eDNA detection can complement traditional monitoring programs and provide regional guidance on future potential eDNA applications. Additionally, we offer recommendations for enhancing communication between eDNA scientists and natural resource managers, which is essential for integrating eDNA methods into existing monitoring programs. Our intent is to create a resource that is accessible to those outside the field of eDNA, especially managers, without oversimplifying the challenges or advantages of these methods.",Focuses on eDNA methods for ecological monitoring and biodiversity assessment in estuaries.,Estuaries and Coasts,2022,45,7,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-022-01080-y,https://link.springer.com/content/pdf/10.1007/s12237-022-01080-y.pdf,TRUE,TRUE,hybrid,cc-by,68,TRUE,FALSE,FALSE,FALSE,Mallory Bedwell,2,DISE
10.1007/S12237-022-01100-X,Relations Between Abiotic and Biotic Environmental Variables and Occupancy of Delta Smelt (Hypomesus transpacificus) in Autumn,"Hendrix, A.N., Fleishman, E., Zillig, M.W., and Jennings, E.D. (2022). Relations Between Abiotic and Biotic Environmental Variables and Occupancy of Delta Smelt (Hypomesus transpacificus) in Autumn. Estuaries and Coasts. 46(1). 149-165. doi:10.1007/S12237-022-01100-X.",A. Noble Hendrix; Erica Fleishman; Martha W. Zillig; Eva Dusek Jennings,QEDA Consulting; Oregon State University; University of California Davis; Cheva Consulting,,biological and ecological sciences,fisheries biology,0.95,,Study of a fish species' occupancy and environmental relations relevant to its conservation.,Estuaries and Coasts,2022,46,1,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-022-01100-x,,FALSE,FALSE,closed,,5,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12237-022-01139-W,Community Patterns and Environmental Associations for the Early Life Stages of Fishes in a Highly Transformed Estuary,"Castillo, G., Tempel, T., Slater, S.J., Mahardja, B., and Gilbert, M.D. (2022). Community Patterns and Environmental Associations for the Early Life Stages of Fishes in a Highly Transformed Estuary. Estuaries and Coasts. 46(2). 562-579. doi:10.1007/S12237-022-01139-W.",Gonzalo Castillo; Trishelle Tempel; Steven J. Slater; Brian Mahardja; Morgan D. Gilbert,United States Fish and Wildlife Service; California Department of Fish and Wildlife; United States Bureau of Reclamation,,biological and ecological sciences,fisheries biology,0.95,"Estuaries are important fish nursery areas, yet little is known of how environmental forcing influences estuarine fishes during their early life stages. We analyzed environmental and larval-juvenile fish community data in the upper San Francisco Estuary (SFE) from spring to early summer 1995–2017, to better understand drivers of spatiotemporal community patterns in this highly modified estuary. We evaluated community patterns based on the relative abundance and diversity of native and introduced fish in the SFE and their predominant distribution (pelagic, demersal). The upper SFE experienced a downward trend of freshwater outflow and upward trends of temperature and salinity intrusion. Fish relative abundance only showed long-term downtrends for native and introduced pelagic fish groups. The most influential habitat components for relative abundance and diversity of fish groups were in decreasing order: temperature, salinity, Secchi depth, bottom depth, and zooplankton biomass. Early life stages of native and introduced fishes were generally segregated spatially and temporally, with native fishes more associated with cooler, saltier, and higher turbidity habitats during early to mid-spring compared to introduced fishes during late spring to early summer. Community ordination showed that environmental (temperature, salinity, outflow, Secchi depth, and zooplankton biomass) and spatiotemporal factors (month and depth), explained nearly 40% of the total variance. Our results suggest that the shorter duration of planktonic and nektonic stages of demersal fish groups results in higher resiliency compared to pelagic fishes. The declining abundance of pelagic fishes overall seems to be linked to drought effects and human-induced synergistic interactions intensified by climate change.",Examines early life stages of fish communities and their environmental drivers in an estuary.,Estuaries and Coasts,2022,46,2,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-022-01139-w,https://link.springer.com/content/pdf/10.1007/s12237-022-01139-w.pdf,TRUE,TRUE,hybrid,cc-by,1,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12237-022-01142-1,Freshwater Flow Affects Subsidies of a Copepod (Pseudodiaptomus forbesi) to Low-Salinity Food Webs in the Upper San Francisco Estuary,"Hassrick, J.L., Korman, J., Kimmerer, W., Gross, E.S., Grimaldo, L., Lee, C., and Schultz, A.A. (2023). Freshwater Flow Affects Subsidies of a Copepod (Pseudodiaptomus forbesi) to Low-Salinity Food Webs in the Upper San Francisco Estuary. Estuaries and Coasts. 46(2). 450-462. doi:10.1007/S12237-022-01142-1.",Jason L. Hassrick; Josh Korman; Wim Kimmerer; Edward S. Gross; Lenny Grimaldo; Calvin Lee; Andrew A. Schultz,ICF; Ecometric Research; San Francisco State University; Resource Management Associates; Care Resource; California Department of Water Resources; United States Fish and Wildlife Service,,biological and ecological sciences,fisheries biology,0.9,"Productivity of the food web supporting small pelagic fishes in the upper San Francisco Estuary is chronically low, and some of the native fish species are in a long-term decline. The low-salinity (oligohaline) zone (LSZ) is particularly depauperate in phytoplankton and zooplankton. Based on prior empirical studies, it is hypothesized that freshwater flow increases the subsidy of a key copepod prey species ( Pseudodiaptomus forbesi ) from its freshwater population center into the LSZ. We combined hydrodynamic and particle-tracking modeling with Bayesian analysis in a box-model approach to estimate the magnitude of this subsidy and its dependence on freshwater flow rates. Net gains of P. forbesi into the LSZ came mostly from freshwater, landward regions of higher copepod abundance. The subsidy increased with freshwater flow, a finding that supports previous empirical analyses. However, in the context of persistent drought and ongoing climate change, the levels required to achieve a detectable net gain may be difficult and costly to achieve.",Examines copepod prey subsidy affecting food webs supporting declining fish populations in an estuary.,Estuaries and Coasts,2023,46,2,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-022-01142-1,https://link.springer.com/content/pdf/10.1007/s12237-022-01142-1.pdf,TRUE,TRUE,hybrid,cc-by,9,TRUE,FALSE,FALSE,FALSE,Lenny Grimaldo,5,EXEC
10.1007/S12237-023-01189-8,"A Spatiotemporal History of Key Pelagic Fish Species in the San Francisco Estuary, CA","Stompe, D.K., Moyle, P.B., Oken, K.L., Hobbs, J.A., and Durand, J.R. (2023). A Spatiotemporal History of Key Pelagic Fish Species in the San Francisco Estuary, CA. Estuaries and Coasts. 46(4). 1067-1082. doi:10.1007/S12237-023-01189-8.",Dylan K. Stompe; Peter B. Moyle; Kiva L. Oken; James A. Hobbs; John R. Durand,University of California Davis; United States National Oceanic and Atmospheric Administration; California Department of Fish and Wildlife,,biological and ecological sciences,fisheries biology,0.95,"Estuaries across the globe have been subject to extensive abiotic and biotic changes and are often monitored to track trends in species abundance. The San Francisco Estuary has been deeply altered by anthropogenic factors, which is reflected in substantial declines in some native and introduced fishes. To track trends in fish abundance, a multitude of monitoring programs have conducted regular fish surveys, some dating back to the late 1950s. While these surveys are all designed to track population-scale changes in fish abundance, they are methodologically distinct, with different target species, varying spatial coverage and sampling frequency, and different gear types. To compensate for individual survey limitations, we modeled pelagic fish distributions with integrated data from many sampling programs. We fit binomial generalized linear mixed models with spatial and spatiotemporal random effects to map annual trends in the spatially explicit detection probabilities of striped bass, Delta smelt, longfin smelt, threadfin shad, and American shad for the years 1980 to 2017. Overall, detection probability has declined by approximately 50% for striped bass and is now near zero for the two smelt species, while threadfin shad and American shad have both experienced fluctuations with only slightly reduced detection probabilities by 2017. Detection probabilities decreased dramatically for these fishes in the Central and South Delta, especially after the year 2000. In contrast, Suisun Marsh and the North Delta acted as refuge habitats with reduced levels of decline or even increased detection probabilities for some species. Our modeling approach, using disparate datasets, demonstrates the simultaneous spatially driven decline of pelagic fish species in a highly altered estuary.",Tracking trends in pelagic fish populations in a highly altered estuary.,Estuaries and Coasts,2023,46,4,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-023-01189-8,https://link.springer.com/content/pdf/10.1007/s12237-023-01189-8.pdf,TRUE,TRUE,hybrid,cc-by,6,FALSE,FALSE,FALSE,TRUE,,,
10.1007/S12237-023-01300-Z,"Etiology of a Fish Kill, Including the Endangered Tidewater Goby (Eucyclogobius newberryi), in a Northeastern Pacific Coastal Lagoon","Feyrer, F., Young, M.J., Kraus, T.E.C., Stumpner, E.B., Fong, D., and Carpenter, K.D. (2023). Etiology of a Fish Kill, Including the Endangered Tidewater Goby (Eucyclogobius newberryi), in a Northeastern Pacific Coastal Lagoon. Estuaries and Coasts. 47(3). 894-904. doi:10.1007/S12237-023-01300-Z.",Frederick Feyrer; Matthew J. Young; Tamara E. C. Kraus; Elizabeth B. Stumpner; Darren Fong; Kurt D. Carpenter,United States Geological Survey; California Water Science Center; California Department of Water Resources; United States National Park Service,,biological and ecological sciences,aquatic ecology,0.95,"Ecological disturbances such as fish kills can negatively impact ecosystem processes in coastal lagoons. To gain an understanding of factors causing fish kills, we examined conditions associated with a summertime fish kill in a northeastern Pacific coastal lagoon (Rodeo Lagoon, CA, USA). Examination of available data indicated the fish kill was likely caused by hypoxia involving the following etiology: (1) strong onshore winds (up to 12 m/s) mixed a stratified water column, (2) water column mixing transported nutrients from near the bed into the photic zone, (3) increased nutrient concentrations in the photic zone (&gt; 200%) together with high solar irradiance fueled a phytoplankton bloom, (4) death and decomposition of phytoplankton (72% decrease in abundance) contributed to biological oxygen demand that led to (5) hypoxic conditions (as low as 0.6 mg/L) that caused the fish kill. The event resulted in the death of an estimated 3677 Tidewater Goby ( Eucyclogobius newberryi ), a species listed as endangered under the US Endangered Species Act, and numerous (but not enumerated) Threespine Stickleback ( Gasterosteus aculeatus ), unidentified sculpins (Cottidae), and macroinvertebrates (primarily Amphipoda). The processes contributing to the event are likely re-occurring phenomena responsible for observed periodic fish kills. Coastal lagoons with limited freshwater inflows and connection to the Pacific Ocean may retain nutrients and be susceptible to similar events.",Examines ecological processes and interactions causing a fish kill in a coastal lagoon.,Estuaries and Coasts,2023,47,3,Springer Science and Business Media LLC,https://doi.org/10.1007/s12237-023-01300-z,https://link.springer.com/content/pdf/10.1007/s12237-023-01300-z.pdf,TRUE,TRUE,hybrid,cc-by,2,TRUE,FALSE,FALSE,FALSE,Elizabeth B. Stumpner,4,DISE
